Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed,Test % Positive,Geography
07/15/2022,New York City,4.736,2626971,52.672,56130722,0.0829,REGION
07/14/2022,New York City,4.76,2622235,53.051,56078050,0.082,REGION
07/13/2022,New York City,5.611,2617475,59.644,56024999,0.0866,REGION
07/12/2022,New York City,3.502,2611864,39.301,55965355,0.0878,REGION
07/11/2022,New York City,5.164,2608362,39.243,55926054,0.115,REGION
07/10/2022,New York City,2.787,2603198,25.232,55886811,0.1038,REGION
07/09/2022,New York City,3.585,2600411,43.44,55861579,0.082,REGION
07/08/2022,New York City,4.629,2596826,46.366,55818139,0.0968,REGION
07/07/2022,New York City,4.055,2592197,43.29,55771773,0.0856,REGION
07/06/2022,New York City,4.551,2588142,43.456,55728483,0.1039,REGION
07/05/2022,New York City,2.1,2583591,19.581,55685027,0.0969,REGION
07/04/2022,New York City,2.376,2581491,20.417,55665446,0.1107,REGION
07/03/2022,New York City,2.459,2579115,23.05,55645029,0.1017,REGION
07/02/2022,New York City,3.002,2576656,34.417,55621979,0.0833,REGION
07/01/2022,New York City,3.991,2573654,41.792,55587562,0.0922,REGION
06/30/2022,New York City,3.985,2569663,47.504,55545770,0.08,REGION
06/29/2022,New York City,3.848,2565678,40.512,55498266,0.0934,REGION
06/28/2022,New York City,3.278,2561830,37.645,55457754,0.0842,REGION
06/27/2022,New York City,2.256,2558552,28.181,55420109,0.0722,REGION
06/26/2022,New York City,2.256,2556296,29.871,55391928,0.0674,REGION
06/25/2022,New York City,3.364,2554040,66.118,55362057,0.0436,REGION
06/24/2022,New York City,3.349,2550676,68.704,55295939,0.0432,REGION
06/23/2022,New York City,3.377,2547327,68.95,55227235,0.045,REGION
06/22/2022,New York City,3.469,2543950,87.244,55158285,0.0336,REGION
06/21/2022,New York City,2.213,2540481,56.473,55071041,0.0304,REGION
06/20/2022,New York City,2.217,2538268,30.591,55014568,0.0694,REGION
06/19/2022,New York City,2.149,2536051,29.967,54983977,0.0644,REGION
06/18/2022,New York City,2.854,2533902,64.498,54954010,0.0374,REGION
06/17/2022,New York City,2.747,2531048,59.513,54889512,0.0387,REGION
06/16/2022,New York City,2.925,2528301,56.626,54829999,0.0462,REGION
06/15/2022,New York City,3.335,2525376,64.093,54773373,0.0465,REGION
06/14/2022,New York City,2.865,2522041,51.944,54709280,0.0508,REGION
06/13/2022,New York City,2.184,2519176,31.222,54657336,0.0685,REGION
06/12/2022,New York City,2.281,2516992,40.414,54626114,0.051,REGION
06/11/2022,New York City,2.324,2514711,49.234,54585700,0.0411,REGION
06/10/2022,New York City,3.465,2512387,54.094,54536466,0.0623,REGION
06/09/2022,New York City,3.048,2508922,61.677,54482372,0.0447,REGION
06/08/2022,New York City,3.544,2505874,71.487,54420695,0.0452,REGION
06/07/2022,New York City,5.148,2502330,108.453,54349208,0.0563,REGION
06/06/2022,New York City,2.604,2497182,35.53,54240755,0.0655,REGION
06/05/2022,New York City,2.21,2494578,41.916,54205225,0.051,REGION
06/04/2022,New York City,3.476,2492368,73.894,54163309,0.0419,REGION
06/03/2022,New York City,3.438,2488892,65.843,54089415,0.046,REGION
06/02/2022,New York City,4.019,2485454,75.751,54023572,0.0477,REGION
06/01/2022,New York City,2.484,2481435,55.161,53947821,0.044,REGION
05/31/2022,New York City,2.802,2478951,29.491,53892660,0.0947,REGION
05/30/2022,New York City,1.69,2476149,20.318,53863169,0.0937,REGION
05/29/2022,New York City,2.229,2474459,35.849,53842851,0.0626,REGION
05/28/2022,New York City,3.139,2472230,60.33,53807002,0.0472,REGION
05/27/2022,New York City,3.708,2469091,66.122,53746672,0.0506,REGION
05/26/2022,New York City,4.252,2465383,73.582,53680550,0.0535,REGION
05/25/2022,New York City,4.229,2461131,70.77,53606968,0.0551,REGION
05/24/2022,New York City,4.055,2456902,57.454,53536198,0.0653,REGION
05/23/2022,New York City,2.779,2452847,29.589,53478744,0.0936,REGION
05/22/2022,New York City,3.122,2450068,37.236,53449155,0.0803,REGION
05/21/2022,New York City,4.178,2446946,73.128,53411919,0.0523,REGION
05/20/2022,New York City,4.126,2442768,68.456,53338791,0.0534,REGION
05/19/2022,New York City,4.241,2438642,61.18,53270335,0.0633,REGION
05/18/2022,New York City,4.718,2434401,65.944,53209155,0.0657,REGION
05/17/2022,New York City,4.581,2429683,67.762,53143211,0.0623,REGION
05/16/2022,New York City,4.342,2425102,52.04,53075449,0.0772,REGION
05/15/2022,New York City,2.629,2420760,33.372,53023409,0.0747,REGION
05/14/2022,New York City,3.189,2418131,50.292,52990037,0.0573,REGION
05/13/2022,New York City,3.551,2414942,55.281,52939745,0.0584,REGION
05/12/2022,New York City,4.369,2411391,134.601,52884464,0.028,REGION
05/11/2022,New York City,5.985,2407022,104.184,52749863,0.0529,REGION
05/10/2022,New York City,3.816,2401037,55.557,52645679,0.0649,REGION
05/09/2022,New York City,2.216,2397221,52.848,52590122,0.0338,REGION
05/08/2022,New York City,2.102,2395005,41.999,52537274,0.0432,REGION
05/07/2022,New York City,4.205,2392903,65.3,52495275,0.06,REGION
05/06/2022,New York City,3.373,2388698,52.526,52429975,0.0578,REGION
05/05/2022,New York City,7.264,2385325,161.631,52377449,0.0419,REGION
05/04/2022,New York City,3.476,2378061,66.595,52215818,0.0459,REGION
05/03/2022,New York City,3.159,2374585,54.923,52149223,0.0527,REGION
05/02/2022,New York City,2.566,2371426,38.427,52094300,0.0606,REGION
05/01/2022,New York City,1.971,2368860,39.88,52055873,0.0424,REGION
04/30/2022,New York City,2.515,2366889,54.384,52015993,0.0419,REGION
04/29/2022,New York City,2.862,2364374,55.867,51961609,0.0471,REGION
04/28/2022,New York City,2.749,2361512,63.079,51905742,0.0381,REGION
04/27/2022,New York City,3.104,2358763,73.132,51842663,0.0367,REGION
04/26/2022,New York City,2.242,2355659,53.523,51769531,0.0343,REGION
04/25/2022,New York City,1.648,2353417,27.005,51716008,0.0582,REGION
04/24/2022,New York City,1.547,2351769,32.577,51689003,0.043,REGION
04/23/2022,New York City,1.726,2350222,42.384,51656426,0.0372,REGION
04/22/2022,New York City,1.929,2348496,40.097,51614042,0.0492,REGION
04/21/2022,New York City,3.207,2346567,57.602,51573945,0.0494,REGION
04/20/2022,New York City,2.103,2343360,43.532,51516343,0.0492,REGION
04/19/2022,New York City,3.499,2341257,63.83,51472811,0.0548,REGION
04/18/2022,New York City,1.823,2337758,40.449,51408981,0.0375,REGION
04/17/2022,New York City,1.505,2335935,29.187,51368532,0.0458,REGION
04/16/2022,New York City,2.306,2334430,58.565,51339345,0.0396,REGION
04/15/2022,New York City,2.624,2332124,87.382,51280780,0.03,REGION
04/14/2022,New York City,2.52,2329500,75.752,51193398,0.0308,REGION
04/13/2022,New York City,2.736,2326980,85.329,51117646,0.0295,REGION
04/12/2022,New York City,2.545,2324244,69.861,51032317,0.0359,REGION
04/11/2022,New York City,1.37,2321699,46.277,50962456,0.0282,REGION
04/10/2022,New York City,1.603,2320329,50.166,50916179,0.0263,REGION
